year,school_code,district,quota_count
2026,093001,虹口区,6
2026,102004,虹口区,12
2026,102032,虹口区,10
2026,103002,虹口区,1
2026,122001,虹口区,4
2026,123001,虹口区,2
2026,122002,虹口区,3
2026,122003,虹口区,2
2026,132001,虹口区,8
2026,132002,虹口区,5
2026,133001,虹口区,4
2026,132003,虹口区,4
2026,133003,虹口区,6
2026,142001,虹口区,4
2026,142002,虹口区,10
2026,142004,虹口区,2
2026,152001,虹口区,10
2026,152002,虹口区,2
2026,152004,虹口区,8
2026,153001,虹口区,7
2026,153004,虹口区,3
2026,153005,虹口区,9
2026,151078,虹口区,2
2026,152005,虹口区,6
2026,162000,虹口区,1
2026,163002,虹口区,3
2026,172001,虹口区,2
2026,173001,虹口区,4
2026,174003,虹口区,2
2026,182001,虹口区,5
2026,183002,虹口区,4
2026,182002,虹口区,3
2026,202001,虹口区,2
2026,202002,虹口区,2
2026,512000,虹口区,2
2026,512001,虹口区,3
2026,042032,松江区,10
2026,102056,松江区,18
2026,102057,松江区,10
2026,152003,松江区,10
2026,152006,松江区,5
2026,012001,松江区,8
2026,012003,松江区,6
2026,012007,松江区,3
2026,012008,松江区,5
2026,012009,松江区,3
2026,012010,松江区,15
2026,012011,松江区,2
2026,042001,松江区,3
2026,042008,松江区,5
2026,042035,松江区,5
2026,043015,松江区,6
2026,042036,松江区,3
2026,052001,松江区,3
2026,052002,松江区,3
2026,053004,松江区,2
2026,062002,松江区,4
2026,062011,松江区,1
2026,072001,松江区,8
2026,072002,松江区,2
2026,092002,松江区,7
2026,102004,松江区,1
2026,102032,松江区,1
2026,122001,松江区,14
2026,123001,松江区,12
2026,122002,松江区,3
2026,122003,松江区,13
2026,122004,松江区,6
2026,132002,松江区,2
2026,133001,松江区,5
2026,133003,松江区,2
2026,142001,松江区,7
2026,142002,松江区,3
2026,142004,松江区,5
2026,152001,松江区,5
2026,152002,松江区,11
2026,152004,松江区,7
2026,153001,松江区,9
2026,153004,松江区,10
2026,153005,松江区,3
2026,151078,松江区,6
2026,162000,松江区,14
2026,163002,松江区,8
2026,172001,松江区,8
2026,173001,松江区,8
2026,172002,松江区,5
2026,172004,松江区,3
2026,174003,松江区,8
2026,182001,松江区,20
2026,183002,松江区,17
2026,182002,松江区,8
2026,202001,松江区,10
2026,512000,松江区,3
2026,042032,浦东新区,43
2026,102056,浦东新区,67
2026,102057,浦东新区,46
2026,152003,浦东新区,132
2026,152006,浦东新区,117
2026,155001,浦东新区,52
2026,012001,浦东新区,25
2026,012003,浦东新区,66
2026,012005,浦东新区,27
2026,012007,浦东新区,50
2026,012008,浦东新区,46
2026,012009,浦东新区,45
2026,012010,浦东新区,35
2026,012011,浦东新区,4
2026,042001,浦东新区,3
2026,042008,浦东新区,10
2026,042035,浦东新区,16
2026,043015,浦东新区,18
2026,042036,浦东新区,8
2026,052001,浦东新区,13
2026,052002,浦东新区,10
2026,053004,浦东新区,8
2026,062001,浦东新区,16
2026,062002,浦东新区,12
2026,062003,浦东新区,6
2026,062004,浦东新区,24
2026,062011,浦东新区,10
2026,063004,浦东新区,10
2026,064001,浦东新区,15
2026,072001,浦东新区,10
2026,072002,浦东新区,19
2026,073003,浦东新区,9
2026,092001,浦东新区,16
2026,092002,浦东新区,18
2026,093001,浦东新区,16
2026,102004,浦东新区,40
2026,102032,浦东新区,22
2026,103002,浦东新区,48
2026,122001,浦东新区,22
2026,123001,浦东新区,28
2026,122002,浦东新区,19
2026,122003,浦东新区,17
2026,122004,浦东新区,20
2026,132001,浦东新区,20
2026,132002,浦东新区,26
2026,133001,浦东新区,28
2026,132003,浦东新区,6
2026,133003,浦东新区,8
2026,142001,浦东新区,9
2026,142002,浦东新区,12
2026,142004,浦东新区,8
2026,152001,浦东新区,11
2026,152002,浦东新区,11
2026,152004,浦东新区,14
2026,153001,浦东新区,11
2026,153004,浦东新区,10
2026,153005,浦东新区,9
2026,151078,浦东新区,16
2026,152005,浦东新区,8
2026,162000,浦东新区,11
2026,163002,浦东新区,14
2026,172001,浦东新区,11
2026,173001,浦东新区,8
2026,172002,浦东新区,12
2026,172004,浦东新区,4
2026,174003,浦东新区,12
2026,182001,浦东新区,14
2026,183002,浦东新区,14
2026,182002,浦东新区,4
2026,202001,浦东新区,21
2026,202002,浦东新区,17
2026,512000,浦东新区,15
2026,512001,浦东新区,18
