id,code,full_name,short_name,district,school_type_id,school_nature_id
200,152005,上海市浦东复旦附中分校,浦外分校,浦东新区,CITY_POLICY,PUBLIC
58,044114,上海市零陵中学,零陵中学,徐汇区,GENERAL,PUBLIC
61,041363,上海市世外中学,世外中学,徐汇区,GENERAL,PRIVATE
67,052002,上海市延安中学,延安中学,长宁区,CITY_MODEL,PUBLIC
71,054030,上海市仙霞高级中学,仙霞高中,长宁区,DISTRICT_MODEL,PUBLIC
266,174013,上海领科双语学校,领科双语,松江区,GENERAL,PRIVATE
35,012008,上海市光明中学,光明中学,黄浦区,CITY_MODEL,PUBLIC
1,042032,上海市上海中学,上海中学,上海市,CITY_MODEL,PUBLIC
100,073004,上海市曹杨中学,曹杨中学,普陀区,CITY_FEATURED,PUBLIC
105,074011,上海市桃浦中学,桃浦中学,普陀区,GENERAL,PUBLIC
109,075013,上海培佳双语学校,培佳双语,普陀区,GENERAL,PRIVATE
346,163000,上海市张堰中学,张堰中学,金山区,DISTRICT_EXPERIMENTAL,PUBLIC
248,164002,上海体育大学附属金山亭林中学,亭林中学,金山区,DISTRICT_MODEL,PUBLIC
237,155049,上海民办华曜浦东实验学校,华曜浦东,浦东新区,GENERAL,PRIVATE
240,155053,上海浦东新区民办宏文学校,宏文学校,浦东新区,GENERAL,PRIVATE
296,514013,上海市崇明区横沙中学,横沙中学,崇明区,GENERAL,PUBLIC
349,064016,复旦附中静安高级中学,复旦附中静安,静安区,GENERAL,PUBLIC
235,155043,上海市民办尚德实验学校,尚德实验,浦东新区,GENERAL,PRIVATE
336,154024,华东师范大学张江实验中学,张江实验,浦东新区,GENERAL,PUBLIC
90,064007,上海市向东中学,向东中学,静安区,GENERAL,PUBLIC
93,064021,上海市民办扬波中学,扬波中学,静安区,GENERAL,PRIVATE
85,063002,上海市第一中学,市一中,静安区,DISTRICT_MODEL,PUBLIC
103,074016,上海音乐学院附属安师实验中学,安师实验,普陀区,DISTRICT_MODEL,PUBLIC
297,144011,上海大学附属嘉定高级中学,上大附属嘉定高中,嘉定区,DISTRICT_EXPERIMENTAL,PUBLIC
275,184003,上海市青浦区第二中学,青浦二中,青浦区,GENERAL,PUBLIC
245,163002,华东师范大学第三附属中学,华师三附,金山区,CITY_MODEL,PUBLIC
252,172001,上海市松江二中,松江二中,松江区,CITY_MODEL,PUBLIC
295,514010,上海民办民一中学,民一中学,崇明区,GENERAL,PRIVATE
